workload,task_id,TI_NNLS,TI_GM,SI_NNLS,SI_GM
w5,5,0.583410341376945,0.0,1.0,1.0
w5,12,0.32946017092989854,,1.0,
w5,13,0.30365375940664496,,1.0,
w5,15,0.0,,1.0,
w5,29,0.49110995432676297,,1.0,
w5,33,0.6777072399172284,,1.0,
w5,36,0.03701285952684785,0.0,1.0,1.0
w5,49,0.6055228494996128,,1.0,
w5,26,0.0001108893324461846,0.0,1.0,1.0
w5,46,2.0040240804375387e-05,0.0,1.0,1.0
w6,8,1.1102230246251565e-16,0.0,0.39300411522633744,0.39300411522633744
w6,10,0.0,0.0,0.7857142857142856,0.7857142857142857
w6,11,0.0,0.0,0.5599999999999999,0.5599999999999999
w6,13,3.539021248288865e-05,0.0,0.8125,0.8125
w6,14,0.0,0.0,0.3873873873873873,0.3873873873873874
w6,19,0.5714285714285714,0.0,0.5632764886591739,1.0
w6,22,0.0,0.0,0.41428571428571426,0.4142857142857143
w6,24,0.2566273809324664,0.0,0.37212952706313807,0.4035087719298246
w6,27,9.784352862929335e-05,0.0,0.37500000000000017,0.375
w6,28,0.0,0.0,0.5599999999999999,0.5599999999999999
w6,35,0.0,0.0,0.3641975308641975,0.36419753086419754
w6,37,0.0,0.0,0.4207736499859138,0.8333333333333334
w6,38,3.3306690738754696e-16,0.0,0.6000000000000001,0.6
w6,39,0.0052631578947368585,0.0,0.38421052631578956,0.3857142857142858
w6,43,0.25684559009884056,0.0,0.6448184083584302,0.912820512820513
w6,0,0.0,0.0,0.9995847176079735,1.0
w6,16,0.2464916161660139,0.0,0.8498835662009316,0.7064606741573033
w6,29,0.0,0.0,0.35294117647058826,0.35294117647058826
w6,47,0.026785714285714413,0.0,0.47767857142857145,0.48337155963302747
w6,12,0.013865999193300449,0.0,1.0,1.0
w6,48,0.5836962580500809,0.0,0.849751466301277,1.0
w6,1,0.0,0.0,1.0,1.0
w6,4,0.0,0.0,0.7000000000000001,0.7
w6,30,0.6763964872608894,0.0,0.75,0.5549679487179487
w6,32,5.7356551265264066e-05,0.0,0.5681818181818183,0.5681818181818182
w6,36,0.0,0.0,1.0,1.0
w6,44,0.0,,0.5,
w6,45,0.0,0.0,0.5333333333333334,0.5333333333333333
w6,3,0.0,0.0,0.34551500659163387,0.37777777777777777
w6,7,0.15303441129560758,0.0,0.9745633779801196,0.8515465182881924
w6,15,0.0,0.0,0.5830529432977566,0.6442307692307693
